"id","name","description","category","country","city","address","latitude","longitude","certifications","certification_details","capacity_value","capacity_unit","lead_time_days","website","contact_email","embedding_id","is_active","created_at","updated_at"
"1dd58d6b-7752-4560-9810-c968ff756a24","Prague Food Ingredients S.A.","Supplier of food-grade ingredients including flavor enhancers, stabilizers, and preservatives. HACCP certified and fully compliant with EU food law regulations.","food_ingredients","Czech Republic","Prague","174 Industriestraße, Prague, Czech Republic","50.08851","14.497154","[""ISO 9001"", ""AS9100"", ""RoHS""]","{""ISO 9001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2026-11-28""}, ""AS9100"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-06-28""}, ""RoHS"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2029-05-28""}}","8757","kg/month",84,"https://www.example-supplier-e705e7ab.com","procurement@example-d3b7fb0c.com","1dd58d6b-7752-4560-9810-c968ff756a24",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"2545520d-dd35-4305-a82c-51a6459ee499","Rotterdam Construction Materials S.A.","Producer of structural concrete elements, precast components, and thermal insulation materials. CE marked products compliant with EU Construction Products Regulation.","construction_materials","Netherlands","Rotterdam","64 Industriestraße, Rotterdam, Netherlands","51.855218","4.619908","[""ISO 9001"", ""IATF 16949"", ""AS9100"", ""ISO 45001""]","{""ISO 9001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2026-12-28""}, ""IATF 16949"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-09-28""}, ""AS9100"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-05-28""}, ""ISO 45001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-04-28""}}","2439","tons/month",69,"https://www.example-supplier-005eab7e.com","procurement@example-19556985.com","2545520d-dd35-4305-a82c-51a6459ee499",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"2c48e14c-bff6-41d1-83f1-c5222eababc6","Stockholm Textiles S.A.","Technical textile manufacturer producing industrial fabrics, filtration media, and protective materials. Custom weaving and finishing to specification with OEKO-TEX certified production.","textiles","Sweden","Stockholm","197 Industriestraße, Stockholm, Sweden","59.141399","17.866557","[""ISO 9001"", ""ISO 22000"", ""REACH"", ""IATF 16949""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2027-10-28""}, ""ISO 22000"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2026-03-28""}, ""REACH"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-10-28""}, ""IATF 16949"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-10-28""}}","45390","meters/month",55,"https://www.example-supplier-872aabc3.com","procurement@example-8591afcb.com","2c48e14c-bff6-41d1-83f1-c5222eababc6",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"2f0932e3-3a00-4496-bcad-2e7d9d652a8f","Stuttgart Logistics GmbH","Full-service logistics provider offering road, rail, and multimodal freight solutions across Europe. Temperature-controlled and hazardous goods transport available.","logistics","Germany","Stuttgart","169 Industriestraße, Stuttgart, Germany","48.946928","9.161442","[""ISO 9001"", ""ISO 22000""]","{""ISO 9001"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-06-28""}, ""ISO 22000"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-05-28""}}","369","shipments/day",89,"https://www.example-supplier-a9ccdffb.com","procurement@example-26d015ff.com","2f0932e3-3a00-4496-bcad-2e7d9d652a8f",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"362a4e57-37b3-40f7-b9d0-5288d40b9bca","Rotterdam Packaging GmbH","Manufacturer of cardboard, corrugated, and sustainable packaging for industrial and consumer goods. Custom design services available with FSC certified paper sourcing.","packaging","Netherlands","Rotterdam","111 Industriestraße, Rotterdam, Netherlands","52.169585","4.578684","[""ISO 9001"", ""ISO 27001""]","{""ISO 9001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-03-28""}, ""ISO 27001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2026-10-28""}}","304433","units/month",78,"https://www.example-supplier-60fa8c59.com","procurement@example-ec9b79f6.com","362a4e57-37b3-40f7-b9d0-5288d40b9bca",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"37df563e-5aaa-47d7-885c-c5140b611bc8","Paris Software Services AG","Provider of enterprise software development, ERP integration, and digital transformation services. ISO 27001 certified information security management with 99.9% SLA.","software_services","France","Paris","42 Industriestraße, Paris, France","48.606734","2.263965","[""ISO 9001"", ""AS9100""]","{""ISO 9001"": {""issuing_body"": ""SGS"", ""valid_until"": ""2027-12-28""}, ""AS9100"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-07-28""}}","24","projects/month",37,"https://www.example-supplier-fa2d7ab1.com","procurement@example-62e4282b.com","37df563e-5aaa-47d7-885c-c5140b611bc8",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"3b50815b-9357-4950-bbb6-bbcd85aa0d9d","Krakow Logistics GmbH","Full-service logistics provider offering road, rail, and multimodal freight solutions across Europe. Temperature-controlled and hazardous goods transport available.","logistics","Poland","Krakow","91 Industriestraße, Krakow, Poland","49.828087","20.124941","[""ISO 9001"", ""ISO 14001"", ""AS9100"", ""ISO 22000""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-07-28""}, ""ISO 14001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2027-08-28""}, ""AS9100"": {""issuing_body"": ""SGS"", ""valid_until"": ""2028-07-28""}, ""ISO 22000"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-07-28""}}","354","shipments/day",58,"https://www.example-supplier-3bb6d8be.com","procurement@example-14a31b77.com","3b50815b-9357-4950-bbb6-bbcd85aa0d9d",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"3dbd0b9e-a251-41ea-b45c-857c7b548925","Berlin Machinery AG","Manufacturer of industrial automation equipment, conveyor systems, and material handling machinery. CE marked and EU Machinery Directive compliant. Full installation and maintenance services.","machinery","Germany","Berlin","24 Industriestraße, Berlin, Germany","52.738056","13.484103","[""ISO 9001"", ""ISO 14001"", ""IATF 16949""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2028-12-28""}, ""ISO 14001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-04-28""}, ""IATF 16949"": {""issuing_body"": ""SGS"", ""valid_until"": ""2028-09-28""}}","69","units/month",41,"https://www.example-supplier-792a8074.com","procurement@example-8913e29d.com","3dbd0b9e-a251-41ea-b45c-857c7b548925",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"41e5860a-fa54-46e3-977a-bf2cfdbd97c0","Stockholm Food Ingredients B.V.","Supplier of food-grade ingredients including flavor enhancers, stabilizers, and preservatives. HACCP certified and fully compliant with EU food law regulations.","food_ingredients","Sweden","Stockholm","167 Industriestraße, Stockholm, Sweden","59.33312","18.048444","[""ISO 9001"", ""ISO 14001"", ""REACH"", ""AS9100""]","{""ISO 9001"": {""issuing_body"": ""SGS"", ""valid_until"": ""2028-10-28""}, ""ISO 14001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-01-28""}, ""REACH"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-06-28""}, ""AS9100"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2027-01-28""}}","8618","kg/month",63,"https://www.example-supplier-3c3a9e78.com","procurement@example-4c791d89.com","41e5860a-fa54-46e3-977a-bf2cfdbd97c0",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"439a36c1-54a0-411d-a26a-edce4aecbb04","Amsterdam Logistics B.V.","Full-service logistics provider offering road, rail, and multimodal freight solutions across Europe. Temperature-controlled and hazardous goods transport available.","logistics","Netherlands","Amsterdam","146 Industriestraße, Amsterdam, Netherlands","52.314843","4.793643","[""AS9100"", ""ISO 45001""]","{""AS9100"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-09-28""}, ""ISO 45001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-05-28""}}","225","shipments/day",62,"https://www.example-supplier-b4495b46.com","procurement@example-a4893e80.com","439a36c1-54a0-411d-a26a-edce4aecbb04",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"463b41fd-f240-48e7-8705-533ece222521","Stuttgart Software Services S.A.","Provider of enterprise software development, ERP integration, and digital transformation services. ISO 27001 certified information security management with 99.9% SLA.","software_services","Germany","Stuttgart","61 Industriestraße, Stuttgart, Germany","48.956861","9.209281","[""ISO 9001"", ""AS9100"", ""ISO 27001"", ""RoHS""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-01-28""}, ""AS9100"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-11-28""}, ""ISO 27001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-02-28""}, ""RoHS"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2029-10-28""}}","35","projects/month",9,"https://www.example-supplier-3eb6b280.com","procurement@example-2b05028e.com","463b41fd-f240-48e7-8705-533ece222521",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"4644a587-27c4-4df4-b06d-2b9bbee3cea9","Amsterdam Textiles Ltd.","Technical textile manufacturer producing industrial fabrics, filtration media, and protective materials. Custom weaving and finishing to specification with OEKO-TEX certified production.","textiles","Netherlands","Amsterdam","5 Industriestraße, Amsterdam, Netherlands","52.508805","4.838763","[""ISO 9001"", ""CE"", ""ISO 27001""]","{""ISO 9001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2026-06-28""}, ""CE"": {""issuing_body"": ""SGS"", ""valid_until"": ""2026-11-28""}, ""ISO 27001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2026-04-28""}}","14065","meters/month",9,"https://www.example-supplier-7944a304.com","procurement@example-0c61d372.com","4644a587-27c4-4df4-b06d-2b9bbee3cea9",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"47cb73e0-d0c0-44c2-8c43-dac509ef99f0","Lyon Metals GmbH","Specializes in precision metal components including steel, aluminum, and copper alloys. State-of-the-art CNC machining facility with 20 years of experience in automotive and aerospace.","metals","France","Lyon","85 Industriestraße, Lyon, France","45.618116","4.684466","[""ISO 14001"", ""ISO 22000"", ""RoHS""]","{""ISO 14001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2027-05-28""}, ""ISO 22000"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-09-28""}, ""RoHS"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-04-28""}}","31496","kg/month",59,"https://www.example-supplier-1e4d54eb.com","procurement@example-7441a115.com","47cb73e0-d0c0-44c2-8c43-dac509ef99f0",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"4930025c-c05a-4677-a863-14b2decf71e1","Stuttgart Food Ingredients Ltd.","Supplier of food-grade ingredients including flavor enhancers, stabilizers, and preservatives. HACCP certified and fully compliant with EU food law regulations.","food_ingredients","Germany","Stuttgart","119 Industriestraße, Stuttgart, Germany","48.599313","8.995262","[""ISO 9001"", ""ISO 45001""]","{""ISO 9001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-11-28""}, ""ISO 45001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2028-11-28""}}","10859","kg/month",26,"https://www.example-supplier-baff81a0.com","procurement@example-56cc0d80.com","4930025c-c05a-4677-a863-14b2decf71e1",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"4dc45e0c-bc45-43ff-8534-c3ac0aedc385","Amsterdam Packaging B.V.","Manufacturer of cardboard, corrugated, and sustainable packaging for industrial and consumer goods. Custom design services available with FSC certified paper sourcing.","packaging","Netherlands","Amsterdam","80 Industriestraße, Amsterdam, Netherlands","52.459499","4.855888","[""ISO 9001"", ""ISO 14001"", ""CE""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-10-28""}, ""ISO 14001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2027-03-28""}, ""CE"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-02-28""}}","193560","units/month",78,"https://www.example-supplier-429ff703.com","procurement@example-3b7a904b.com","4dc45e0c-bc45-43ff-8534-c3ac0aedc385",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"4e5fcf38-bade-4e91-a449-120fc600836c","Brussels Logistics AG","Full-service logistics provider offering road, rail, and multimodal freight solutions across Europe. Temperature-controlled and hazardous goods transport available.","logistics","Belgium","Brussels","169 Industriestraße, Brussels, Belgium","50.907955","4.255619","[""ISO 9001"", ""ISO 22000"", ""REACH"", ""AS9100""]","{""ISO 9001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-09-28""}, ""ISO 22000"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2028-02-28""}, ""REACH"": {""issuing_body"": ""SGS"", ""valid_until"": ""2028-04-28""}, ""AS9100"": {""issuing_body"": ""SGS"", ""valid_until"": ""2027-01-28""}}","57","shipments/day",38,"https://www.example-supplier-336da0e1.com","procurement@example-05de4e05.com","4e5fcf38-bade-4e91-a449-120fc600836c",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"51b10a2a-e16e-4bac-a1f4-d996f2ec78e4","Munich Construction Materials GmbH","Producer of structural concrete elements, precast components, and thermal insulation materials. CE marked products compliant with EU Construction Products Regulation.","construction_materials","Germany","Munich","128 Industriestraße, Munich, Germany","47.889404","11.658461","[""ISO 9001"", ""ISO 22000"", ""AS9100"", ""CE""]","{""ISO 9001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2028-11-28""}, ""ISO 22000"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2029-04-28""}, ""AS9100"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-08-28""}, ""CE"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2026-03-28""}}","3701","tons/month",60,"https://www.example-supplier-35b07f0e.com","procurement@example-5b43c803.com","51b10a2a-e16e-4bac-a1f4-d996f2ec78e4",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"57b1a891-574f-47a7-b72d-f1612368d3d8","Krakow Machinery AG","Manufacturer of industrial automation equipment, conveyor systems, and material handling machinery. CE marked and EU Machinery Directive compliant. Full installation and maintenance services.","machinery","Poland","Krakow","21 Industriestraße, Krakow, Poland","49.873116","19.961847","[""ISO 9001"", ""ISO 45001""]","{""ISO 9001"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-10-28""}, ""ISO 45001"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-10-28""}}","23","units/month",36,"https://www.example-supplier-8b1e9362.com","procurement@example-06acd340.com","57b1a891-574f-47a7-b72d-f1612368d3d8",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"5a25bda3-d90f-4bc0-8182-9bc1c73ad6fd","Paris Software Services AG","Provider of enterprise software development, ERP integration, and digital transformation services. ISO 27001 certified information security management with 99.9% SLA.","software_services","France","Paris","147 Industriestraße, Paris, France","48.897166","2.470332","[""ISO 9001"", ""IATF 16949""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-11-28""}, ""IATF 16949"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2028-02-28""}}","34","projects/month",76,"https://www.example-supplier-a964263b.com","procurement@example-6373ad67.com","5a25bda3-d90f-4bc0-8182-9bc1c73ad6fd",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"5c5c0820-ebd9-4f16-af85-279282909442","Hannover Metals AG","Specializes in precision metal components including steel, aluminum, and copper alloys. State-of-the-art CNC machining facility with 20 years of experience in automotive and aerospace.","metals","Germany","Hannover","198 Industriestraße, Hannover, Germany","52.553957","9.796065","[""ISO 9001"", ""ISO 22000"", ""ISO 27001"", ""ISO 14001""]","{""ISO 9001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2026-04-28""}, ""ISO 22000"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2029-05-28""}, ""ISO 27001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2028-03-28""}, ""ISO 14001"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2028-04-28""}}","44420","kg/month",41,"https://www.example-supplier-a9ee01e3.com","procurement@example-8c747241.com","5c5c0820-ebd9-4f16-af85-279282909442",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"5c63b9cb-b9f6-497e-b410-5d01159f004b","Prague Software Services AG","Provider of enterprise software development, ERP integration, and digital transformation services. ISO 27001 certified information security management with 99.9% SLA.","software_services","Czech Republic","Prague","80 Industriestraße, Prague, Czech Republic","50.135281","14.574228","[""ISO 9001"", ""RoHS""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2027-06-28""}, ""RoHS"": {""issuing_body"": ""Lloyd's Register"", ""valid_until"": ""2029-08-28""}}","50","projects/month",43,"https://www.example-supplier-04b8066a.com","procurement@example-82465279.com","5c63b9cb-b9f6-497e-b410-5d01159f004b",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
"5cab9d8f-5c14-4dce-8e63-b5a3b0d6ed76","Berlin Chemicals GmbH","Producer of specialty chemicals, solvents, and reagents for industrial and laboratory applications. Full REACH compliance and SDS documentation provided for all products.","chemicals","Germany","Berlin","142 Industriestraße, Berlin, Germany","52.265335","13.475282","[""ISO 9001"", ""ISO 45001"", ""CE"", ""REACH""]","{""ISO 9001"": {""issuing_body"": ""DNV"", ""valid_until"": ""2026-04-28""}, ""ISO 45001"": {""issuing_body"": ""T\u00dcV Rheinland"", ""valid_until"": ""2029-02-28""}, ""CE"": {""issuing_body"": ""SGS"", ""valid_until"": ""2029-12-28""}, ""REACH"": {""issuing_body"": ""Bureau Veritas"", ""valid_until"": ""2028-07-28""}}","8005","liters/month",67,"https://www.example-supplier-a2fc7f6d.com","procurement@example-2a610302.com","5cab9d8f-5c14-4dce-8e63-b5a3b0d6ed76",True,"2026-05-22 10:49:01.338832+00","2026-05-22 10:49:01.338832+00"
